Array Size, Duration Time
2,191
Array Size, Duration Time
4,168
Array Size, Duration Time
8,162
Array Size, Duration Time
16,164
Array Size, Duration Time
32,165
Array Size, Duration Time
64,165
Array Size, Duration Time
128,164
Array Size, Duration Time
256,164
Array Size, Duration Time
512,163
Array Size, Duration Time
1024,163
Array Size, Duration Time
2,200
Array Size, Duration Time
4,197
Array Size, Duration Time
8,164
Array Size, Duration Time
16,164
Array Size, Duration Time
32,165
Array Size, Duration Time
64,165
Array Size, Duration Time
128,164
Array Size, Duration Time
256,164
Array Size, Duration Time
512,163
Array Size, Duration Time
1024,163
